name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Danny Green,76人,后卫,1.98,97.5 公斤,11,美国,https://china.nba.com//players/#!/danny_green,688,612,25.4,42.4,40.0,80.7,0.6,2.9,8.9,3.5,1.6,1.0,0.8,1.0,1.8
Draymond Green,勇士,前锋,1.98,104.3 公斤,8,美国,https://china.nba.com//players/#!/draymond_green,576,428,28.1,43.5,31.9,71.0,1.1,5.8,9.0,6.9,5.0,1.4,1.1,2.1,2.8
Gerald Green,火箭,后卫-前锋,1.98,93.0 公斤,12,美国,https://china.nba.com//players/#!/gerald_green,658,118,19.8,41.7,36.1,81.8,0.5,2.0,9.7,2.5,0.9,0.5,0.3,1.1,1.9
JaMychal Green,掘金,前锋-中锋,2.03,103.0 公斤,6,美国,https://china.nba.com//players/#!/jamychal_green,362,152,21.9,47.1,37.4,76.8,1.8,4.3,8.1,6.1,0.9,0.6,0.4,1.1,2.7
Javonte Green,凯尔特人,后卫-前锋,1.93,93.0 公斤,1,美国,https://china.nba.com//players/#!/javonte_green,48,2,9.8,50.0,27.3,66.7,0.5,1.4,3.4,1.9,0.5,0.5,0.2,0.5,0.9
Jeff Green,篮网,前锋,2.03,106.6 公斤,12,美国,https://china.nba.com//players/#!/jeff_green,908,546,29.5,44.2,33.4,80.5,0.9,3.5,13.0,4.4,1.6,0.7,0.5,1.5,2.2
Josh Green,独行侠,后卫,1.96,90.7 公斤,0,澳洲,https://china.nba.com//players/#!/josh_green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Griffin,活塞,前锋,2.06,113.4 公斤,10,美国,https://china.nba.com//players/#!/blake_griffin,622,622,34.8,49.8,33.3,69.4,2.2,6.7,21.7,8.8,4.4,0.9,0.5,2.6,2.9
Marko Guduric,灰熊,后卫,1.98,91.2 公斤,1,塞尔维亚,https://china.nba.com//players/#!/marko_guduric,44,0,11.0,39.5,30.1,92.3,0.3,1.3,3.9,1.7,1.0,0.3,0.2,0.8,0.8
Kyle Guy,国王,后卫,1.85,75.8 公斤,1,美国,https://china.nba.com//players/#!/kyle_guy,3,0,3.3,40.0,0.0,0.0,0.0,0.3,1.3,0.3,0.3,0.0,0.0,0.0,0.3
Rui Hachimura,奇才,前锋,2.03,104.3 公斤,1,Japan,https://china.nba.com//players/#!/rui_hachimura,48,48,30.1,46.6,28.7,82.9,1.6,4.5,13.5,6.1,1.8,0.8,0.2,1.1,2.2
Ashton Hagans,森林狼,后卫-前锋,1.90,86.2 公斤,0,美国,https://china.nba.com//players/#!/ashton_hagans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Haliburton,国王,后卫,1.96,83.9 公斤,0,美国,https://china.nba.com//players/#!/tyrese_haliburton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hall,雷霆,前锋,2.06,86.2 公斤,0,美国,https://china.nba.com//players/#!/josh_hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayshaun Hammonds,步行者,前锋,2.06,86.2 公斤,0,美国,https://china.nba.com//players/#!/rayshaun_hammonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.J. Hampton,掘金,后卫,1.93,79.4 公斤,0,美国,https://china.nba.com//players/#!/rj_hampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Hardaway Jr.,独行侠,后卫-前锋,1.96,93.0 公斤,7,美国,https://china.nba.com//players/#!/tim_hardaway jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Harden,火箭,后卫,1.96,99.8 公斤,11,美国,https://china.nba.com//players/#!/james_harden,833,620,34.3,44.3,36.3,85.8,0.8,4.6,25.2,5.3,6.3,1.6,0.5,3.7,2.7
Maurice Harkless,热火,前锋-后卫,2.01,99.8 公斤,8,美国,https://china.nba.com//players/#!/maurice_harkless,537,325,23.1,47.8,32.5,61.2,1.2,2.5,7.2,3.7,0.9,1.0,0.7,0.9,2.1
Jared Harper,尼克斯,后卫,1.78,79.4 公斤,1,美国,https://china.nba.com//players/#!/jared_harper,3,0,2.7,25.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Montrezl Harrell,湖人,前锋-中锋,2.01,108.9 公斤,5,美国,https://china.nba.com//players/#!/montrezl_harrell,318,25,20.9,61.4,10.0,63.8,1.8,3.2,12.7,4.9,1.3,0.6,0.9,1.2,2.3
Gary Harris,掘金,后卫,1.93,95.3 公斤,6,美国,https://china.nba.com//players/#!/gary_harris,368,306,29.0,45.4,36.0,80.3,0.6,2.0,12.1,2.6,2.1,1.3,0.2,1.3,1.8
