name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Elfrid Payton,尼克斯,后卫,1.90,88.5 公斤,6,美国,https://china.nba.com//players/#!/elfrid_payton,387,331,29.3,45.2,28.9,62.5,1.1,3.3,11.0,4.4,6.6,1.3,0.4,2.4,2.2
Reggie Perry,篮网,前锋-中锋,2.06,113.4 公斤,0,美国,https://china.nba.com//players/#!/reggie_perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Pinson,尼克斯,后卫-前锋,1.96,96.2 公斤,2,美国,https://china.nba.com//players/#!/theo_pinson,51,0,11.3,30.7,21.4,89.5,0.3,1.5,3.9,1.8,1.5,0.5,0.1,1.0,1.0
Mason Plumlee,活塞,前锋-中锋,2.11,115.2 公斤,7,美国,https://china.nba.com//players/#!/mason_plumlee,532,257,21.6,57.4,6.3,56.2,2.0,4.2,8.3,6.2,2.2,0.8,0.9,1.5,2.7
Jakob Poeltl,马刺,中锋,2.16,111.1 公斤,4,奥地利,https://china.nba.com//players/#!/jakob_poeltl,279,46,16.5,63.8,50.0,53.6,2.0,2.8,5.5,4.8,1.0,0.4,1.0,0.8,2.1
Vincent Poirier,76人,中锋-前锋,2.13,106.6 公斤,1,法国,https://china.nba.com//players/#!/vincent_poirier,22,0,5.9,47.2,50.0,85.7,0.6,1.4,1.9,2.0,0.4,0.1,0.4,0.4,1.1
Aleksej Pokusevski,雷霆,中锋,2.13,86.2 公斤,0,塞尔维亚,https://china.nba.com//players/#!/aleksej_pokusevski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Poole,勇士,后卫,1.93,88.0 公斤,1,美国,https://china.nba.com//players/#!/jordan_poole,57,14,22.4,33.3,27.9,79.8,0.2,1.9,8.8,2.1,2.4,0.6,0.2,1.3,1.7
Jontay Porter,灰熊,中锋-前锋,2.11,108.9 公斤,0,美国,https://china.nba.com//players/#!/jontay_porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Porter Jr.,骑士,后卫-前锋,1.93,92.1 公斤,1,美国,https://china.nba.com//players/#!/kevin_porter_jr,50,3,23.2,44.2,33.5,72.3,0.4,2.8,10.0,3.2,2.2,0.9,0.3,1.9,2.7
Michael Porter Jr.,掘金,前锋,2.08,98.9 公斤,1,美国,https://china.nba.com//players/#!/michael_porter_jr,55,8,16.4,50.9,42.2,83.3,1.2,3.5,9.3,4.7,0.8,0.5,0.5,0.9,1.8
Otto Porter Jr.,公牛,前锋,2.03,89.8 公斤,7,美国,https://china.nba.com//players/#!/otto_porter jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Portis,雄鹿,前锋,2.08,113.4 公斤,5,美国,https://china.nba.com//players/#!/bobby_portis,315,54,20.4,45.6,36.0,75.4,1.7,4.2,10.2,5.9,1.2,0.5,0.3,1.1,1.8
Kristaps Porzingis,独行侠,前锋-中锋,2.21,108.9 公斤,4,拉脱维亚,https://china.nba.com//players/#!/kristaps_porzingis,243,242,31.2,43.4,35.8,80.3,1.7,6.0,18.4,7.7,1.4,0.7,2.0,1.7,3.2
Dwight Powell,独行侠,前锋-中锋,2.08,108.9 公斤,6,加拿大,https://china.nba.com//players/#!/dwight_powell,371,88,18.8,56.3,29.3,73.9,1.5,3.1,7.7,4.6,1.0,0.7,0.5,0.7,2.1
Myles Powell,尼克斯,后卫,1.88,88.5 公斤,0,美国,https://china.nba.com//players/#!/myles_powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Powell,猛龙,后卫,1.90,97.5 公斤,5,美国,https://china.nba.com//players/#!/norman_powell,307,89,18.8,45.7,36.1,81.8,0.3,2.1,8.6,2.4,1.3,0.7,0.2,1.0,1.6
Taurean Prince,篮网,前锋,2.01,98.9 公斤,4,美国,https://china.nba.com//players/#!/taurean_prince,260,200,26.4,41.2,36.6,81.8,0.6,3.8,11.6,4.3,1.9,0.9,0.4,1.8,2.2
Payton Pritchard,凯尔特人,后卫,1.88,88.5 公斤,0,美国,https://china.nba.com//players/#!/payton_pritchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevelin Queen,火箭,后卫,1.98,86.2 公斤,0,美国,https://china.nba.com//players/#!/trevelin_queen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immanuel Quickley,尼克斯,后卫,1.90,86.2 公斤,0,美国,https://china.nba.com//players/#!/immanuel_quickley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahmi'us Ramsey,国王,后卫,1.93,86.2 公斤,0,美国,https://china.nba.com//players/#!/jahmius_ramsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julius Randle,尼克斯,前锋-中锋,2.03,113.4 公斤,6,美国,https://china.nba.com//players/#!/julius_randle,375,295,29.2,49.3,29.5,72.4,2.2,6.8,16.1,9.0,2.8,0.7,0.5,2.5,3.2
Levi Randolph,骑士,后卫,1.98,95.3 公斤,0,美国,https://china.nba.com//players/#!/levi_randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Reddish,老鹰,前锋-后卫,2.03,98.9 公斤,1,美国,https://china.nba.com//players/#!/cameron_reddish,58,34,26.7,38.4,33.2,80.2,0.6,3.1,10.5,3.7,1.5,1.1,0.5,1.7,2.3
JJ Redick,鹈鹕,后卫,1.90,90.7 公斤,14,美国,https://china.nba.com//players/#!/jj_redick,896,488,25.9,44.8,41.6,89.1,0.2,1.9,13.1,2.1,2.0,0.5,0.1,1.1,1.5
Paul Reed,76人,前锋,2.06,95.3 公斤,0,美国,https://china.nba.com//players/#!/paul_reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naz Reid,森林狼,中锋-前锋,2.06,119.7 公斤,1,美国,https://china.nba.com//players/#!/naz_reid,30,11,16.5,41.2,33.0,69.8,1.1,3.0,9.0,4.1,1.2,0.6,0.7,0.7,2.8
Cameron Reynolds,马刺,后卫-前锋,2.01,102.1 公斤,1,美国,https://china.nba.com//players/#!/cameron_reynolds,19,0,13.6,42.3,41.2,88.9,0.2,1.4,5.0,1.6,0.7,0.3,0.1,0.3,1.4
Nick Richards,黄蜂,中锋,2.11,111.1 公斤,0,牙买加,https://china.nba.com//players/#!/nick_richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Richardson,独行侠,后卫,1.96,90.7 公斤,5,美国,https://china.nba.com//players/#!/josh_richardson,314,243,30.7,42.6,36.3,81.8,0.7,2.5,12.4,3.2,2.9,1.1,0.7,1.5,2.5
Grant Riller,黄蜂,后卫,1.90,86.2 公斤,0,美国,https://china.nba.com//players/#!/grant_riller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,尼克斯,后卫,1.90,90.7 公斤,8,美国,https://china.nba.com//players/#!/austin_rivers,552,149,24.5,41.8,34.8,64.4,0.3,1.8,9.2,2.1,2.3,0.7,0.2,1.1,2.2
Duncan Robinson,热火,前锋,2.01,97.5 公斤,2,美国,https://china.nba.com//players/#!/duncan_robinson,88,69,26.4,46.5,43.7,91.0,0.1,2.7,11.7,2.9,1.2,0.5,0.2,0.8,2.3
Jerome Robinson,奇才,后卫,1.93,86.2 公斤,2,美国,https://china.nba.com//players/#!/jerome_robinson,96,6,13.5,37.9,31.9,69.7,0.2,1.6,4.5,1.8,1.1,0.4,0.2,0.7,1.7
Mitchell Robinson,尼克斯,中锋-前锋,2.13,108.9 公斤,2,美国,https://china.nba.com//players/#!/mitchell_robinson,127,26,21.8,72.0,0.0,58.3,2.9,3.8,8.5,6.7,0.6,0.8,2.2,0.6,3.2
Glenn Robinson III,国王,前锋,1.98,100.7 公斤,6,美国,https://china.nba.com//players/#!/glenn_robinson iii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Roby,雷霆,前锋,2.03,104.3 公斤,1,美国,https://china.nba.com//players/#!/roby_isaiah,3,0,3.7,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.3,0.3
Rajon Rondo,老鹰,后卫,1.85,81.6 公斤,14,美国,https://china.nba.com//players/#!/rajon_rondo,873,729,31.0,45.8,31.6,60.6,1.0,3.7,10.2,4.7,8.3,1.7,0.1,2.8,2.2
Derrick Rose,活塞,后卫,1.88,90.7 公斤,11,美国,https://china.nba.com//players/#!/derrick_rose,596,504,32.6,45.6,30.4,82.7,0.8,2.6,18.8,3.4,5.6,0.8,0.3,2.6,1.3
Terrence Ross,魔术,后卫-前锋,1.98,93.4 公斤,8,美国,https://china.nba.com//players/#!/terrence_ross,561,176,24.7,42.0,37.0,82.8,0.4,2.5,11.0,2.8,1.1,0.9,0.3,0.9,1.7
Terry Rozier,黄蜂,后卫,1.85,86.2 公斤,5,美国,https://china.nba.com//players/#!/terry_rozier,335,93,22.7,39.4,37.1,81.3,0.6,3.1,9.6,3.7,2.7,0.8,0.2,1.1,1.3
Ricky Rubio,森林狼,后卫,1.90,86.2 公斤,9,西班牙,https://china.nba.com//players/#!/ricky_rubio,563,542,30.9,39.1,32.8,84.1,0.7,3.6,11.3,4.3,7.8,1.9,0.1,2.7,2.6
D 'Angelo Russell,森林狼,后卫,1.93,87.5 公斤,5,美国,https://china.nba.com//players/#!/d'angelo_russell,317,269,29.0,42.0,35.6,77.2,0.6,3.2,17.5,3.7,5.3,1.2,0.3,2.9,1.9
Domantas Sabonis,步行者,前锋-中锋,2.11,108.9 公斤,4,立陶宛,https://china.nba.com//players/#!/domantas_sabonis,291,152,25.6,52.2,32.1,72.2,2.0,6.0,12.1,8.0,2.6,0.6,0.4,1.9,2.9
Luka Samanic,马刺,前锋,2.08,103.0 公斤,1,克罗地亚,https://china.nba.com//players/#!/luka_samanic,3,1,16.0,31.3,37.5,75.0,0.3,3.0,5.3,3.3,2.0,0.0,0.7,0.7,2.0
JaKarr   Sampson,步行者,前锋,2.01,97.1 公斤,5,美国,https://china.nba.com//players/#!/jakarr_sampson,207,90,15.6,46.8,25.1,67.1,0.6,2.1,5.3,2.7,0.8,0.4,0.5,0.8,1.9
Dario Saric,太阳,前锋-中锋,2.08,102.1 公斤,4,克罗地亚,https://china.nba.com//players/#!/dario_saric,306,201,26.4,44.1,35.8,83.7,1.6,4.6,12.2,6.2,2.1,0.6,0.3,1.7,2.2
Tomas Satoransky,公牛,后卫,2.01,95.3 公斤,4,捷克共和国,https://china.nba.com//players/#!/tomas_satoransky,275,151,23.3,46.9,36.9,81.7,0.9,2.2,7.4,3.1,4.1,0.9,0.2,1.4,1.8
Admiral Schofield,雷霆,后卫-前锋,1.96,109.3 公斤,1,英国,https://china.nba.com//players/#!/admiral_schofield,33,2,11.2,38.0,31.1,66.7,0.2,1.2,3.0,1.4,0.5,0.2,0.1,0.2,1.5
Dennis Schroder,湖人,后卫,1.85,78.0 公斤,7,德国,https://china.nba.com//players/#!/dennis_schroder,496,177,25.5,43.6,33.7,82.8,0.4,2.4,14.1,2.8,4.6,0.8,0.1,2.4,1.9
Mike Scott,76人,前锋,2.01,107.5 公斤,8,美国,https://china.nba.com//players/#!/mike_scott,504,22,16.5,45.9,36.4,75.9,0.7,2.5,7.0,3.2,0.9,0.3,0.1,0.7,1.5
Jay Scrubb,快船,后卫,1.98,99.8 公斤,0,美国,https://china.nba.com//players/#!/jay_scrubb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collin Sexton,骑士,后卫,1.85,86.2 公斤,2,美国,https://china.nba.com//players/#!/collin_sexton,147,137,32.3,45.0,39.2,84.3,0.8,2.2,18.5,3.0,3.0,0.7,0.1,2.3,2.2
Landry Shamet,篮网,后卫,1.93,86.2 公斤,2,美国,https://china.nba.com//players/#!/landry_shamet,132,57,24.7,42.0,40.2,82.8,0.2,1.6,9.2,1.8,1.6,0.4,0.2,0.7,2.3
Simisola Shittu,公牛,中锋-前锋,2.08,108.9 公斤,0,加拿大,https://china.nba.com//players/#!/simisola_shittu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Siakam,猛龙,前锋,2.06,104.3 公斤,4,喀麦隆,https://china.nba.com//players/#!/pascal_siakam,276,182,26.1,50.0,33.4,76.4,1.2,4.4,12.8,5.6,2.3,0.8,0.7,1.5,2.5
Chris Silva,热火,前锋,2.03,106.1 公斤,1,Gabon,https://china.nba.com//players/#!/chris_silva,44,0,7.9,61.5,0.0,67.3,1.4,1.5,3.0,2.9,0.5,0.2,0.5,0.7,1.9
Ben Simmons,76人,后卫-前锋,2.08,108.9 公斤,3,澳洲,https://china.nba.com//players/#!/ben_simmons,217,217,34.3,56.0,8.3,59.3,2.0,6.3,16.4,8.3,8.0,1.7,0.8,3.5,2.8
Anfernee Simons,开拓者,后卫,1.90,82.1 公斤,2,美国,https://china.nba.com//players/#!/anfernee_simons,90,5,17.7,40.4,33.3,78.7,0.3,1.5,7.3,1.8,1.2,0.3,0.1,0.8,1.6
Deividas Sirvydis,活塞,前锋-后卫,2.03,86.2 公斤,0,立陶宛,https://china.nba.com//players/#!/deividas_sirvydis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alen Smailagic,勇士,前锋,2.08,97.5 公斤,1,塞尔维亚,https://china.nba.com//players/#!/alen_smailagic,14,0,9.9,50.0,23.1,84.2,0.7,1.2,4.2,1.9,0.9,0.2,0.3,0.8,1.0
Marcus Smart,凯尔特人,后卫,1.90,99.8 公斤,6,美国,https://china.nba.com//players/#!/marcus_smart,401,183,28.9,37.3,31.8,77.5,0.9,2.7,9.9,3.6,4.1,1.6,0.4,1.7,2.6
Ish Smith,奇才,后卫,1.83,79.4 公斤,10,美国,https://china.nba.com//players/#!/ish_smith,610,165,20.2,43.0,31.9,68.3,0.4,2.1,7.8,2.5,3.9,0.7,0.3,1.3,1.3
Jalen Smith,太阳,前锋-中锋,2.08,97.5 公斤,0,美国,https://china.nba.com//players/#!/jalen_smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhaire Smith,灰熊,后卫,1.90,93.0 公斤,2,美国,https://china.nba.com//players/#!/zhaire_smith,13,2,11.0,37.8,31.6,66.7,0.2,0.9,3.7,1.2,0.9,0.4,0.2,0.6,0.9
Dennis Smith Jr.,尼克斯,后卫,1.88,93.0 公斤,3,美国,https://china.nba.com//players/#!/dennis_smith jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Sneed,黄蜂,前锋,1.96,97.5 公斤,0,美国,https://china.nba.com//players/#!/xavier_sneed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Snell,老鹰,后卫,1.98,96.6 公斤,7,美国,https://china.nba.com//players/#!/tony_snell,501,275,22.5,42.8,38.5,83.8,0.3,2.0,6.5,2.3,1.2,0.5,0.2,0.6,1.4
Omari Spellman,尼克斯,前锋,2.03,111.1 公斤,2,美国,https://china.nba.com//players/#!/omari_spellman,95,14,17.8,41.7,36.6,76.6,1.6,2.8,6.8,4.4,1.0,0.6,0.5,0.9,1.4
Cassius Stanley,步行者,后卫,1.96,86.2 公斤,0,美国,https://china.nba.com//players/#!/cassius_stanley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Stauskas,雄鹿,后卫,1.98,93.9 公斤,5,加拿大,https://china.nba.com//players/#!/nik_stauskas,335,63,19.9,38.9,35.3,81.4,0.2,1.8,6.8,2.1,1.5,0.4,0.2,1.0,1.3
Lamar Stevens,骑士,前锋,2.01,104.3 公斤,0,美国,https://china.nba.com//players/#!/lamar_stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Stewart,活塞,前锋-中锋,2.06,113.4 公斤,0,美国,https://china.nba.com//players/#!/isaiah_stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Strus,热火,后卫-前锋,1.96,97.5 公斤,1,美国,https://china.nba.com//players/#!/max_strus,2,0,3.0,66.7,0.0,100.0,0.5,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.5
Edmond Sumner,步行者,后卫,1.93,88.9 公斤,3,美国,https://china.nba.com//players/#!/edmond_sumner,55,5,12.0,40.6,26.3,58.5,0.4,0.9,4.0,1.3,1.2,0.5,0.3,0.6,1.3
Dwayne Sutton,勇士,后卫,1.96,99.8 公斤,0,美国,https://china.nba.com//players/#!/dwayne_sutton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jae'Sean Tate,火箭,前锋,1.93,104.3 公斤,0,美国,https://china.nba.com//players/#!/jaesean_tate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,凯尔特人,前锋-后卫,2.03,95.3 公斤,3,美国,https://china.nba.com//players/#!/jayson_tatum,225,225,31.8,45.7,40.1,82.9,0.8,5.1,17.3,6.0,2.2,1.2,0.8,1.7,2.1
Marlon Taylor,奇才,后卫,1.96,94.8 公斤,0,美国,https://china.nba.com//players/#!/marlon_taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Teague,凯尔特人,后卫,1.90,88.5 公斤,11,美国,https://china.nba.com//players/#!/jeff_teague,771,593,27.5,44.5,35.6,84.4,0.3,2.1,12.6,2.5,5.8,1.2,0.3,2.3,1.9
Garrett Temple,公牛,后卫-前锋,1.96,88.5 公斤,10,美国,https://china.nba.com//players/#!/garrett_temple,576,246,21.1,40.3,34.7,73.9,0.4,1.9,6.4,2.3,1.7,0.8,0.3,0.9,1.9
Tyrell Terry,独行侠,后卫,1.90,72.6 公斤,0,美国,https://china.nba.com//players/#!/tyrell_terry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Teske,魔术,中锋,2.16,120.2 公斤,0,美国,https://china.nba.com//players/#!/jon_teske,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Theis,凯尔特人,前锋-中锋,2.03,111.1 公斤,3,德国,https://china.nba.com//players/#!/daniel_theis,194,69,17.6,55.5,34.4,75.3,1.6,3.1,6.7,4.8,1.2,0.5,0.9,0.7,2.8
Brodric Thomas,火箭,后卫,1.96,83.9 公斤,0,美国,https://china.nba.com//players/#!/brodric_thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Thomas,猛龙,后卫,1.93,86.2 公斤,1,美国,https://china.nba.com//players/#!/matt_thomas,41,1,10.7,48.7,47.5,75.0,0.2,1.3,4.9,1.5,0.5,0.2,0.0,0.4,0.9
Klay Thompson,勇士,后卫,1.98,97.5 公斤,8,美国,https://china.nba.com//players/#!/klay_thompson,615,578,33.1,45.9,41.9,84.8,0.4,3.0,19.5,3.5,2.3,0.9,0.5,1.7,2.1
Tristan Thompson,凯尔特人,中锋-前锋,2.06,115.2 公斤,9,加拿大,https://china.nba.com//players/#!/tristan_thompson,619,429,28.1,51.8,28.1,61.0,3.4,5.3,9.4,8.7,1.0,0.5,0.7,1.2,2.3
Sindarius Thornwell,鹈鹕,后卫,1.93,97.5 公斤,3,美国,https://china.nba.com//players/#!/sindarius_thornwell,139,17,10.8,42.0,35.0,68.3,0.3,1.1,2.6,1.4,0.6,0.5,0.2,0.5,1.2
Matisse Thybulle,76人,后卫-前锋,1.96,91.2 公斤,1,美国,https://china.nba.com//players/#!/matisse_thybulle,65,14,19.8,42.3,35.7,61.0,0.7,1.0,4.7,1.7,1.2,1.4,0.7,0.8,2.2
Killian Tillie,灰熊,前锋-中锋,2.08,99.8 公斤,0,法国,https://china.nba.com//players/#!/killian_tillie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Tillman,灰熊,前锋,2.03,111.1 公斤,0,美国,https://china.nba.com//players/#!/xavier_tillman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Toolson,爵士,后卫,1.96,93.0 公斤,0,美国,https://china.nba.com//players/#!/jake_toolson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obi Toppin,尼克斯,前锋,2.06,99.8 公斤,0,美国,https://china.nba.com//players/#!/obi_toppin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Toscano-Anderson,勇士,前锋,1.98,94.8 公斤,1,美国,https://china.nba.com//players/#!/juan_toscano-anderson,13,6,20.9,46.0,34.8,60.0,0.7,3.3,5.3,4.0,2.0,1.0,0.4,1.2,2.3
Axel Toupane,勇士,后卫-前锋,2.01,95.3 公斤,2,法国,https://china.nba.com//players/#!/axel_toupane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Anthony Towns,森林狼,中锋-前锋,2.11,112.5 公斤,5,美国,https://china.nba.com//players/#!/karl-anthony_towns,358,358,34.4,53.4,39.6,83.1,3.1,8.6,22.7,11.8,2.8,0.8,1.5,2.5,3.3
Gary Trent Jr.,开拓者,后卫-前锋,1.96,94.8 公斤,2,美国,https://china.nba.com//players/#!/tmp_gary_trent,76,9,19.0,43.2,40.5,76.9,0.3,1.1,7.6,1.5,0.9,0.6,0.2,0.3,1.2
Jahlil Tripp,灰熊,前锋,1.96,97.5 公斤,0,美国,https://china.nba.com//players/#!/jahlil_tripp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.J. Tucker,火箭,前锋,1.96,111.1 公斤,9,美国,https://china.nba.com//players/#!/pj_tucker,654,478,29.3,42.1,36.1,74.8,1.6,4.2,7.3,5.8,1.4,1.2,0.3,1.0,2.5
Rayjon Tucker,快船,后卫,1.90,94.8 公斤,1,美国,https://china.nba.com//players/#!/rayjon_tucker,20,0,8.1,46.5,17.6,82.6,0.2,0.9,3.1,1.0,0.3,0.1,0.1,0.4,0.5
Myles Turner,步行者,中锋-前锋,2.11,113.4 公斤,5,美国,https://china.nba.com//players/#!/myles_turner,342,309,28.3,48.8,35.7,76.8,1.4,5.2,12.7,6.7,1.2,0.7,2.1,1.3,2.8
Breein Tyree,热火,后卫,1.88,88.5 公斤,0,美国,https://china.nba.com//players/#!/breein_tyree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Uthoff,鹈鹕,前锋,2.06,99.8 公斤,2,美国,https://china.nba.com//players/#!/jarrod_uthoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Valanciunas,灰熊,中锋,2.11,120.2 公斤,8,立陶宛,https://china.nba.com//players/#!/jonas_valanciunas,559,531,25.3,56.2,35.5,78.1,2.6,6.2,12.4,8.9,0.9,0.4,1.1,1.5,2.8
Denzel Valentine,公牛,后卫,1.93,99.8 公斤,3,美国,https://china.nba.com//players/#!/denzel_valentine,170,42,20.9,40.1,36.6,75.3,0.4,3.2,7.8,3.6,2.1,0.7,0.1,1.0,1.9
Fred VanVleet,猛龙,后卫,1.85,89.4 公斤,4,美国,https://china.nba.com//players/#!/fred_vanvleet,231,82,23.8,41.2,39.3,84.2,0.3,2.3,10.5,2.6,4.1,1.0,0.3,1.3,1.8
Jarred Vanderbilt,森林狼,前锋,2.06,97.1 公斤,2,美国,https://china.nba.com//players/#!/jarred_vanderbilt,28,0,4.1,51.9,0.0,66.7,0.4,0.8,1.3,1.2,0.2,0.3,0.1,0.5,0.5
Devin Vassell,马刺,后卫-前锋,2.01,90.7 公斤,0,美国,https://china.nba.com//players/#!/devin_vassell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Vincent,热火,后卫,1.90,90.7 公斤,1,美国,https://china.nba.com//players/#!/gabe_vincent,9,0,9.2,21.6,22.2,0.0,0.0,0.6,2.4,0.6,0.7,0.6,0.0,0.1,0.7
Nikola Vucevic,魔术,中锋,2.11,117.9 公斤,9,黑山,https://china.nba.com//players/#!/nikola_vucevic,598,537,30.3,49.9,33.5,74.6,2.7,7.5,16.1,10.2,2.6,0.9,0.9,1.7,2.5
Dean Wade,骑士,前锋-中锋,2.06,103.4 公斤,1,美国,https://china.nba.com//players/#!/dean_wade,12,0,5.9,69.2,50.0,0.0,0.3,1.3,1.7,1.6,0.2,0.2,0.3,0.3,0.7
Moritz Wagner,奇才,前锋-中锋,2.11,111.1 公斤,2,德国,https://china.nba.com//players/#!/moritz_wagner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemba Walker,凯尔特人,后卫,1.83,83.5 公斤,9,美国,https://china.nba.com//players/#!/kemba_walker,661,616,33.8,41.9,36.0,83.7,0.6,3.3,19.9,3.8,5.4,1.3,0.4,2.2,1.5
Lonnie Walker IV,马刺,后卫-前锋,1.96,92.5 公斤,2,美国,https://china.nba.com//players/#!/lonnie_walker,78,12,14.2,41.7,40.4,73.2,0.3,1.7,5.6,2.0,1.0,0.5,0.2,0.6,1.1
John Wall,火箭,后卫,1.93,95.3 公斤,9,美国,https://china.nba.com//players/#!/john_wall,573,561,35.9,43.3,32.4,78.1,0.6,3.8,19.0,4.3,9.2,1.7,0.7,3.8,2.3
Brad Wanamaker,勇士,后卫,1.90,95.3 公斤,2,美国,https://china.nba.com//players/#!/brad_wanamaker,107,1,16.0,45.4,37.6,91.5,0.2,1.5,5.9,1.7,2.2,0.7,0.2,0.9,1.6
T.J. Warren,步行者,前锋,2.03,99.8 公斤,6,美国,https://china.nba.com//players/#!/tj_warren,328,232,28.8,50.7,36.1,77.9,1.4,2.8,15.5,4.1,1.2,1.0,0.5,1.0,2.4
P.J. Washington,黄蜂,前锋,2.01,104.3 公斤,1,美国,https://china.nba.com//players/#!/pj_washington,58,57,30.3,45.5,37.4,64.7,1.0,4.5,12.2,5.5,2.1,0.9,0.8,1.6,2.7
Yuta Watanabe,猛龙,后卫-前锋,2.03,97.5 公斤,2,Japan,https://china.nba.com//players/#!/yuta_watanabe,33,0,8.5,35.3,20.8,55.6,0.3,1.2,2.3,1.5,0.4,0.3,0.1,0.2,0.6
Tremont Waters,凯尔特人,后卫,1.78,79.4 公斤,1,美国,https://china.nba.com//players/#!/tremont_waters,11,1,10.8,28.6,16.7,100.0,0.0,1.1,3.6,1.1,1.5,0.9,0.2,1.4,1.2
Paul Watson,猛龙,后卫,1.98,95.3 公斤,1,美国,https://china.nba.com//players/#!/paul_watson,10,0,8.7,38.5,33.3,77.8,0.2,1.5,3.1,1.7,0.8,0.4,0.1,0.3,0.5
Quinndary Weatherspoon,马刺,后卫,1.90,93.0 公斤,1,美国,https://china.nba.com//players/#!/quinndary_weatherspoon,11,0,7.1,29.4,20.0,50.0,0.1,0.6,1.1,0.6,1.0,0.3,0.1,0.5,0.7
Kaleb Wesson,勇士,前锋,2.06,122.5 公斤,0,美国,https://china.nba.com//players/#!/kaleb_wesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,奇才,后卫,1.90,90.7 公斤,12,美国,https://china.nba.com//players/#!/russell_westbrook,878,861,34.6,43.7,30.5,79.9,1.7,5.4,23.2,7.1,8.3,1.8,0.3,4.1,2.6
Coby White,公牛,后卫,1.93,88.5 公斤,1,美国,https://china.nba.com//players/#!/coby_white,65,1,25.8,39.4,35.4,79.1,0.4,3.1,13.2,3.5,2.7,0.8,0.1,1.7,1.8
Derrick White,马刺,后卫,1.93,86.2 公斤,3,美国,https://china.nba.com//players/#!/derrick_white,152,75,23.3,46.9,36.4,81.6,0.5,2.8,9.8,3.3,3.4,0.8,0.7,1.3,2.0
Hassan Whiteside,国王,中锋,2.13,120.2 公斤,8,美国,https://china.nba.com//players/#!/hassan_whiteside,410,320,26.7,58.2,32.0,60.8,3.4,8.4,13.7,11.7,0.7,0.6,2.4,1.6,2.7
Kahlil Whitney,黄蜂,前锋,1.98,95.3 公斤,0,美国,https://china.nba.com//players/#!/kahlil_whitney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Whittington,掘金,前锋,2.06,95.3 公斤,0,美国,https://china.nba.com//players/#!/greg_whittington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
